Year,State,Ethnicity,Grade,Enrollment,Dropout
2002,hawaii,Black,8,274,6
2002,idaho,Black,8,0,0
2002,illinois,Black,8,31998,714
2002,indiana,Black,8,9569,39
2002,iowa,Black,8,1527,1
2002,kansas,Black,8,3401,8
2002,kentucky,Black,8,5046,13
2002,louisiana,Black,8,30989,1711
2002,maine,Black,8,254,0
2002,maryland,Black,8,25325,75
2002,massachusetts,Black,8,6714,19
2002,michigan,Black,8,27227,1483
2002,minnesota,Black,8,4709,49
2002,mississippi,Black,8,19165,172
2002,missouri,Black,8,12510,146
2002,montana,Black,8,67,0
2002,nebraska,Black,8,1452,13
2002,nevada,Black,8,3236,91
2002,new hampshire,Black,8,0,0
2002,new jersey,Black,8,18328,46
2002,new mexico,Black,8,637,5
2002,new york,Black,8,44705,73
2002,north carolina,Black,8,33171,237
2002,north dakota,Black,8,84,0
2002,ohio,Black,8,23748,461
2002,oklahoma,Black,8,4868,89
2002,oregon,Black,8,1225,0
2002,pennsylvania,Black,8,21857,0
2002,rhode island,Black,8,1038,4
2002,south carolina,Black,8,23032,42
2002,south dakota,Black,8,117,0
2002,tennessee,Black,8,0,0
2002,texas,Black,8,46074,366
2002,utah,Black,8,359,16
2002,vermont,Black,8,49,0
2002,virginia,Black,8,25077,340
2002,washington,Black,8,0,0
2002,west virginia,Black,8,936,3
2002,wisconsin,Black,8,6784,263
2002,wyoming,Black,8,101,0
2002,american samoa,Black,8,0,0
2002,guam,Black,8,0,0
2002,northern marianas,Black,8,0,0
2002,puerto rico,Black,8,0,0
2002,virgin islands,Black,8,0,0
2002,alabama,White,8,35142,140
2002,alaska,White,8,6468,53
2002,arizona,White,8,36141,757
2002,arkansas,White,8,0,0
2002,california,White,8,0,0
2002,colorado,White,8,38979,28
2002,connecticut,White,8,31060,21
2002,delaware,White,8,5829,18
2002,district of columbia,White,8,0,0
2002,florida,White,8,105855,777
2002,georgia,White,8,62560,335
2002,hawaii,White,8,2686,35
2002,idaho,White,8,0,0
2002,illinois,White,8,95276,928
2002,indiana,White,8,65981,75
2002,iowa,White,8,34092,11
2002,kansas,White,8,28833,15
2002,kentucky,White,8,43278,58
2002,louisiana,White,8,27978,548
2002,maine,White,8,16647,29
2002,maryland,White,8,36243,29
2002,massachusetts,White,8,58904,77
2002,michigan,White,8,0,0
2002,minnesota,White,8,54956,61
2002,mississippi,White,8,18509,77
2002,missouri,White,8,56737,118
2002,montana,White,8,10410,11
2002,nebraska,White,8,18128,21
2002,nevada,White,8,15998,289
2002,new hampshire,White,8,0,0
2002,new jersey,White,8,64991,20
2002,new mexico,White,8,8809,89
2002,new york,White,8,125724,178
2002,north carolina,White,8,64310,296
2002,north dakota,White,8,7512,1
2002,ohio,White,8,114102,458
2002,oklahoma,White,8,29747,207
2002,oregon,White,8,34858,0
2002,pennsylvania,White,8,116220,0
2002,rhode island,White,8,9392,8
2002,south carolina,White,8,30709,38
2002,south dakota,White,8,8597,2
2002,tennessee,White,8,0,0
2002,texas,White,8,134658,565
2002,utah,White,8,30837,216
2002,vermont,White,8,7774,0
2002,virginia,White,8,0,0
2002,washington,White,8,0,0
2002,west virginia,White,8,20841,89
2002,wisconsin,White,8,54526,29
2002,wyoming,White,8,6121,15
2002,american samoa,White,8,0,0
2002,guam,White,8,0,0
2002,northern marianas,White,8,0,0
2002,puerto rico,White,8,0,0
2002,virgin islands,White,8,0,0
2002,alabama,Hispanic,8,875,4
2002,alaska,Hispanic,8,374,4
2002,arizona,Hispanic,8,23960,978
2002,arkansas,Hispanic,8,0,0
2002,california,Hispanic,8,0,0
2002,colorado,Hispanic,8,12976,64
2002,connecticut,Hispanic,8,5897,39
2002,delaware,Hispanic,8,670,6
2002,district of columbia,Hispanic,8,0,0
2002,florida,Hispanic,8,41421,1164
2002,georgia,Hispanic,8,5962,127
2002,hawaii,Hispanic,8,636,5
2002,idaho,Hispanic,8,0,0
2002,illinois,Hispanic,8,23378,487
2002,indiana,Hispanic,8,2913,16
2002,iowa,Hispanic,8,1441,1
2002,kansas,Hispanic,8,3415,10
2002,kentucky,Hispanic,8,537,5
2002,louisiana,Hispanic,8,867,19
2002,maine,Hispanic,8,118,1
2002,maryland,Hispanic,8,3564,1
2002,massachusetts,Hispanic,8,8602,57
2002,michigan,Hispanic,8,0,0
2002,minnesota,Hispanic,8,2312,33
2002,mississippi,Hispanic,8,344,6
2002,missouri,Hispanic,8,1457,14
2002,montana,Hispanic,8,236,0
2002,nebraska,Hispanic,8,1697,7
2002,nevada,Hispanic,8,7594,177
2002,new hampshire,Hispanic,8,0,0
2002,new jersey,Hispanic,8,16319,34
2002,new mexico,Hispanic,8,12999,199
2002,new york,Hispanic,8,40181,63
2002,north carolina,Hispanic,8,5136,73
2002,north dakota,Hispanic,8,91,0
2002,ohio,Hispanic,8,2644,60
2002,oklahoma,Hispanic,8,3001,79
2002,oregon,Hispanic,8,4451,0
2002,pennsylvania,Hispanic,8,7160,0
2002,rhode island,Hispanic,8,1865,5
2002,south carolina,Hispanic,8,1229,3
2002,south dakota,Hispanic,8,162,0
2002,tennessee,Hispanic,8,0,0
2002,texas,Hispanic,8,126057,1250
2002,utah,Hispanic,8,3513,91
2002,vermont,Hispanic,8,48,0
2002,virginia,Hispanic,8,5160,41
2002,washington,Hispanic,8,0,0
2002,west virginia,Hispanic,8,83,0
2002,wisconsin,Hispanic,8,3131,61
2002,wyoming,Hispanic,8,469,4
2002,american samoa,Hispanic,8,0,0
2002,guam,Hispanic,8,0,0
2002,northern marianas,Hispanic,8,0,0
2002,puerto rico,Hispanic,8,0,0
2002,virgin islands,Hispanic,8,0,0
2002,alabama,Black,9,22993,605
2002,alaska,Black,9,559,40
2002,arizona,Black,9,3581,306
2002,arkansas,Black,9,8410,309
2002,california,Black,9,46628,2286
2002,colorado,Black,9,3799,162
2002,connecticut,Black,9,6593,186
2002,delaware,Black,9,3194,356
2002,district of columbia,Black,9,0,0
2002,florida,Black,9,65609,2745
2002,georgia,Black,9,52927,3111
2002,hawaii,Black,9,325,18
2002,idaho,Black,9,151,6
2002,illinois,Black,9,36604,4176
2002,indiana,Black,9,10167,244
2002,iowa,Black,9,1619,50
2002,kansas,Black,9,3624,86
2002,kentucky,Black,9,5821,179
2002,louisiana,Black,9,26156,2859
2002,maine,Black,9,249,10
2002,maryland,Black,9,29291,1640
2002,massachusetts,Black,9,8117,472
2002,michigan,Black,9,35776,4103
2002,minnesota,Black,9,4672,153
2002,mississippi,Black,9,20252,866
2002,missouri,Black,9,13887,638
2002,montana,Black,9,74,0
2002,nebraska,Black,9,1965,137
2002,nevada,Black,9,3456,187
2002,new hampshire,Black,9,218,8
2002,new jersey,Black,9,20577,593
2002,new mexico,Black,9,641,34
2002,new york,Black,9,60756,3111
2002,north carolina,Black,9,38567,2406
2002,north dakota,Black,9,75,1
2002,ohio,Black,9,28490,1899
2002,oklahoma,Black,9,5629,306
2002,oregon,Black,9,1234,0
2002,pennsylvania,Black,9,27604,0
2002,rhode island,Black,9,1277,75
2002,south carolina,Black,9,28603,1102
2002,south dakota,Black,9,132,6
2002,tennessee,Black,9,0,0
2002,texas,Black,9,56750,1801
2002,utah,Black,9,365,20
2002,vermont,Black,9,0,0
2002,virginia,Black,9,28902,1250
2002,washington,Black,9,4781,427
2002,west virginia,Black,9,1004,38
2002,wisconsin,Black,9,8931,902
2002,wyoming,Black,9,110,0
2002,american samoa,Black,9,0,0
2002,guam,Black,9,0,0
2002,northern marianas,Black,9,0,0
2002,puerto rico,Black,9,0,0
2002,virgin islands,Black,9,0,0
2002,alabama,White,9,36789,1058
2002,alaska,White,9,7043,359
2002,arizona,White,9,40110,1610
2002,arkansas,White,9,0,0
2002,california,White,9,180541,2241
2002,colorado,White,9,41257,620
2002,connecticut,White,9,31882,300
2002,delaware,White,9,6306,308
2002,district of columbia,White,9,0,0
2002,florida,White,9,126816,3677
2002,georgia,White,9,68419,3100
2002,hawaii,White,9,3167,99
2002,idaho,White,9,17847,361
2002,illinois,White,9,100086,3059
2002,indiana,White,9,67799,889
2002,iowa,White,9,35972,243
2002,kansas,White,9,30836,270
2002,kentucky,White,9,47047,1083
2002,louisiana,White,9,29748,1732
2002,maine,White,9,16559,288
2002,maryland,White,9,38325,883
2002,massachusetts,White,9,60095,1316
2002,michigan,White,9,109224,2927
2002,minnesota,White,9,56961,249
2002,mississippi,White,9,19333,350
2002,missouri,White,9,59111,958
2002,montana,White,9,10997,182
2002,nebraska,White,9,19196,191
2002,nevada,White,9,17512,639
2002,new hampshire,White,9,16957,229
2002,new jersey,White,9,64284,421
2002,new mexico,White,9,9475,291
2002,new york,White,9,131801,2192
2002,north carolina,White,9,69281,2903
2002,north dakota,White,9,7879,57
2002,ohio,White,9,122188,1663
2002,oklahoma,White,9,30958,950
2002,oregon,White,9,35674,0
2002,pennsylvania,White,9,121547,0
2002,rhode island,White,9,9942,241
2002,south carolina,White,9,34912,1069
2002,south dakota,White,9,8967,89
2002,tennessee,White,9,0,0
2002,texas,White,9,149639,2235
2002,utah,White,9,31386,341
2002,vermont,White,9,0,0
2002,virginia,White,9,62016,1092
2002,washington,White,9,64542,2914
2002,west virginia,White,9,21831,696
2002,wisconsin,White,9,60987,209
2002,wyoming,White,9,6414,81
2002,american samoa,White,9,0,0
2002,guam,White,9,0,0
2002,northern marianas,White,9,0,0
2002,puerto rico,White,9,0,0
2002,virgin islands,White,9,0,0
2002,alabama,Hispanic,9,891,33
2002,alaska,Hispanic,9,375,30
2002,arizona,Hispanic,9,26498,3208
