Year,State,BL7,WH7,HI7,BL8,WH8,HI8,BL9,WH9,HI9,BL10,WH10,HI10,BL11,WH11,HI11,BL12,WH12,HI12,BLD7,WHD7,HID7,BLD8,WHD8,HID8,BLD9,WHD9,HID9,BLD10,WHD10,HID10,BLD11,WHD11,HID11,BLD12,WHD12,HID12
2002,NEVADA,3354,16228,8494,3236,15998,7594,3456,17512,8932,2792,15221,6497,1949,12839,4250,1650,11464,3376,97,306,180,91,289,177,187,639,631,204,605,538,170,484,387,270,928,508
2002,NEW HAMPSHIRE,NaN,NaN,NaN,NaN,NaN,NaN,218,16957,362,195,15851,318,160,14672,281,127,13725,232,NaN,NaN,NaN,NaN,NaN,NaN,8,229,18,12,433,21,10,647,35,19,927,46
2002,NEW JERSEY,19300,65882,17557,18328,64991,16319,20577,64284,18141,17550,60519,15993,14369,58396,12704,13265,54939,11741,179,11,38,46,20,34,593,421,605,593,622,702,447,887,491,360,876,404
2002,NEW MEXICO,600,8442,13138,637,8809,12999,641,9475,14623,571,9235,12775,516,8467,10187,401,7672,8433,4,54,90,5,89,199,34,291,878,27,321,722,26,313,604,13,262,371
2002,NEW YORK,46398,129157,42459,44705,125724,40181,60756,131801,53490,48833,122716,42183,29044,113043,23995,24502,108014,19548,35,22,12,73,178,63,3111,2192,2874,4729,3100,4301,4202,4004,3591,3504,4258,3160
2002,NORTH CAROLINA,34937,NaN,NaN,33171,64310,5136,38567,69281,5841,29152,60025,3966,23895,54800,2731,19706,49285,2070,130,NaN,NaN,237,296,73,2406,2903,515,1861,2893,399,1433,2930,211,968,2060,103
2002,NORTH DAKOTA,87,7302,102,84,7512,91,75,7879,104,71,7718,89,66,7929,87,57,8041,81,NaN,NaN,NaN,NaN,1,NaN,1,57,7,4,119,4,2,157,4,2,188,4
2002,OHIO,25701,115438,2809,23748,114102,2644,28490,122188,3110,20214,112935,2228,16975,110666,2001,14753,105859,1798,376,318,48,461,458,60,1899,1663,222,1154,1857,138,1272,2867,142,920,3793,110
2002,OKLAHOMA,5485,30036,3083,4868,29747,3001,5629,30958,3219,4781,29389,2587,4051,28150,2006,3418,26438,1662,78,152,45,89,207,79,306,950,286,319,1004,236,256,1116,180,170,842,139
2002,OREGON,1193,35001,4943,1225,34858,4451,1234,35674,4692,1103,34780,4224,1066,33638,3741,939,31762,3261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,PENNSYLVANIA,23299,117140,7699,21857,116220,7160,27604,121547,8490,22049,116066,6821,16750,112174,4753,13875,106557,3844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,RHODE ISLAND,1072,9517,2112,1038,9392,1865,1277,9942,2130,1031,9119,1611,804,8257,1230,740,7762,984,NaN,2,1,4,8,5,75,241,153,58,309,152,57,296,105,35,261,58
2002,SOUTH CAROLINA,22230,29083,1351,23032,30709,1229,28603,34912,1472,19788,27705,924,15033,23069,586,14216,22166,523,40,24,3,42,38,3,1102,1069,71,789,988,40,482,693,22,360,543,12
