Year,State,BL7,WH7,HI7,BL8,WH8,HI8,BL9,WH9,HI9,BL10,WH10,HI10,BL11,WH11,HI11,BL12,WH12,HI12,BLD7,WHD7,HID7,BLD8,WHD8,HID8,BLD9,WHD9,HID9,BLD10,WHD10,HID10,BLD11,WHD11,HID11,BLD12,WHD12,HID12
2003,KANSAS,3407,27885,3912,3261,28991,3639,3702,29875,4309,3101,29379,3307,2737,28268,2678,2647,27939,2338,4,13,6,7,15,7,83,201,109,92,414,167,120,671,131,179,781,122
2003,KENTUCKY,5573,45017,695,5147,44352,644,5999,47956,706,4903,42043,572,3973,37816,433,3639,34686,395,3,25,1,7,55,4,172,1189,23,255,1444,20,201,1380,14,149,1141,8
2003,LOUISIANA,28682,28251,1021,29986,27957,946,26344,29945,941,21181,25315,797,18273,23119,702,17263,22377,656,632,216,14,1586,468,26,2897,1765,58,1935,1293,71,1608,1139,59,2760,1182,60
2003,MAINE,245,16225,99,289,16628,121,280,16193,123,270,15427,109,228,14535,93,186,14013,92,1,4,NaN,NaN,14,NaN,3,231,7,7,400,6,3,446,6,7,510,5
2003,MARYLAND,27659,35252,4106,25735,36216,4024,31676,39104,4677,24094,35234,3641,20506,33048,2973,18998,31546,2508,76,19,1,101,35,2,2073,951,198,1532,1050,177,1163,1107,147,1007,915,100
2003,MASSACHUSETTS,7176,57809,9172,6968,59096,8986,8366,60749,10641,6702,55897,7744,5889,52598,6272,5260,48870,5053,23,25,32,27,72,58,392,961,707,403,1526,719,366,1748,511,479,1889,511
2003,MICHIGAN,31163,101184,5290,29409,103167,4912,36278,109356,5689,23254,102393,4496,18122,95885,3547,13407,90328,2896,2116,581,157,2903,784,239,5061,2408,466,2818,2905,364,1733,2911,248,1221,3109,194
2003,MINNESOTA,NaN,NaN,NaN,NaN,NaN,NaN,5203,NaN,1425,4794,56588,2493,4360,56604,1950,5071,60233,2180,NaN,NaN,NaN,NaN,NaN,NaN,147,NaN,99,253,606,298,366,1243,261,959,2771,469
2003,MISSISSIPPI,21867,19628,431,19307,19196,412,20544,19350,372,17010,16885,265,13792,14773,207,12807,13403,131,143,55,3,147,72,1,685,357,14,598,372,5,515,453,5,391,393,6
2003,MISSOURI,14218,57056,1733,12895,57131,1631,14016,60075,1691,11559,55837,1462,9444,52367,1188,8428,50693,1036,63,35,7,144,104,17,639,996,80,623,1669,75,502,2083,60,491,1723,62
2003,MONTANA,85,10198,245,76,10555,253,79,10939,253,57,10660,230,61,10336,214,39,10071,188,NaN,6,1,1,12,NaN,4,165,12,1,325,19,3,368,9,6,335,6
2003,NEBRASKA,1576,17775,2165,1607,18509,1919,2089,19282,2215,1371,18541,1747,1080,18490,1317,1128,18917,1184,15,15,20,9,22,10,134,164,143,124,296,143,80,442,91,78,551,109
2003,NEVADA,3549,16347,9434,3463,16403,8964,3982,17999,9860,3028,15889,7280,2200,13372,4868,1772,11479,3725,108,288,190,123,327,217,207,609,579,190,609,567,142,593,417,317,921,640
2003,NEW HAMPSHIRE,NaN,NaN,NaN,NaN,NaN,NaN,233,17426,392,214,15869,359,199,15159,304,154,13829,252,NaN,NaN,NaN,NaN,NaN,NaN,5,209,10,15,493,25,15,691,17,21,939,36
2003,NEW JERSEY,NaN,NaN,NaN,NaN,NaN,NaN,21592,NaN,19789,18145,NaN,17007,15380,58801,13768,13632,56652,12165,NaN,NaN,NaN,NaN,NaN,NaN,686,NaN,721,615,NaN,660,481,780,512,425,771,406
2003,NEW MEXICO,650,8471,13593,596,8521,13269,711,9534,15310,615,8921,12589,517,8223,10472,444,7679,8770,4,63,83,9,88,160,29,290,871,35,310,841,48,312,709,15,243,478
2003,NEW YORK,47406,125072,43974,45020,127216,41977,62754,131443,57566,49692,123485,43783,30043,112712,25726,25830,109690,21186,60,37,135,155,92,154,2774,2060,2819,8550,4559,8368,2128,4047,1888,1924,4230,1577
2003,NORTH CAROLINA,NaN,NaN,NaN,34589,64730,5777,40790,70684,6860,30927,61727,4583,25391,55346,3370,20812,50034,2450,NaN,NaN,NaN,222,247,70,2589,2936,615,1992,2947,467,1484,2716,269,1028,2119,135
2003,NORTH DAKOTA,NaN,NaN,NaN,NaN,NaN,NaN,83,7732,114,76,7722,100,90,7557,91,73,7656,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,4,2,118,10,10,127,7,5,185,4
2003,OHIO,25900,115106,2865,24755,115207,2852,30030,123192,3277,22792,115239,2599,18349,110118,2147,15955,107142,1896,191,187,31,250,312,37,1659,1862,156,1751,2354,166,1665,3047,158,1494,3935,143
2003,OKLAHOMA,5237,29249,3366,5208,29596,3163,5579,30917,3528,4919,28988,2824,4095,27121,2266,3484,26155,1854,75,125,44,76,191,86,325,863,364,282,909,282,247,981,206,173,921,144
2003,OREGON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,PENNSYLVANIA,24179,115877,8321,22862,117118,7784,26964,122854,9153,23266,116813,7376,18736,111221,5780,15497,108408,4486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,RHODE ISLAND,NaN,NaN,NaN,NaN,NaN,NaN,1264,NaN,2325,1107,9154,1852,967,8442,1413,732,7725,1061,NaN,NaN,NaN,NaN,NaN,NaN,49,NaN,119,65,258,128,69,265,112,29,197,52
2003,SOUTH CAROLINA,24210,30705,1634,21900,29025,1471,29621,35464,1778,20590,28542,1070,15029,23024,714,14801,22283,570,82,28,8,89,30,7,1192,1097,121,854,953,61,578,730,30,390,580,18
2003,SOUTH DAKOTA,134,8259,177,137,8654,166,117,8765,187,139,8756,132,121,8639,128,124,8724,114,NaN,NaN,NaN,NaN,1,NaN,3,116,14,5,219,23,14,342,21,12,357,11
2003,TENNESSEE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,TEXAS,48262,132318,138972,46864,134765,132627,57391,148148,161094,44887,133070,121255,37634,122863,97966,32837,116452,85101,120,119,306,366,599,1273,1779,2149,6180,2149,2651,6708,1614,2873,5037,2025,3259,5836
2003,UTAH,411,31147,4002,388,31169,3890,363,31054,3692,364,31650,3458,330,30723,3156,324,30809,2768,7,263,71,10,130,70,10,197,125,16,487,188,25,772,293,61,2329,643
2003,VERMONT,98,7528,63,92,7786,67,113,8044,59,106,7855,61,82,7523,67,88,7273,59,19,4,20,12,16,6,7,104,5,7,193,5,11,224,7,8,212,7
2003,VIRGINIA,27183,NaN,NaN,25610,NaN,5405,31011,63934,6629,23010,56705,5196,18969,52489,4788,18152,50662,3438,330,NaN,NaN,369,NaN,38,1332,951,562,1082,897,398,791,968,374,752,1195,261
2003,WASHINGTON,NaN,NaN,NaN,NaN,NaN,NaN,4944,64706,9817,4355,60809,8157,3717,58255,6823,3568,56898,6084,NaN,NaN,NaN,NaN,NaN,NaN,400,2468,1033,494,2617,885,484,3358,792,487,4858,776
2003,WEST VIRGINIA,1028,21577,127,943,21048,115,1062,22418,100,899,19465,121,811,18401,73,680,17614,91,3,23,NaN,6,72,2,50,808,4,60,860,3,69,888,3,30,771,7
2003,WISCONSIN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,WYOMING,109,6000,549,86,6188,563,104,6311,546,105,6253,529,66,5988,440,41,5922,350,1,16,4,NaN,14,17,5,96,28,5,170,57,10,310,48,6,382,34
2003,AMERICAN SAMOA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,GUAM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,NORTHERN MARIANAS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,PUERTO RICO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,VIRGIN ISLANDS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
