Year,State,BL7,WH7,HI7,BL8,WH8,HI8,BL9,WH9,HI9,BL10,WH10,HI10,BL11,WH11,HI11,BL12,WH12,HI12,BLD7,WHD7,HID7,BLD8,WHD8,HID8,BLD9,WHD9,HID9,BLD10,WHD10,HID10,BLD11,WHD11,HID11,BLD12,WHD12,HID12
2003,ALABAMA,23121,36498,1102,21733,35805,1024,23336,37177,1046,19590,32332,790,16638,29290,551,14131,26640,418,16,38,NaN,48,134,1,540,1014,31,668,1138,38,639,1199,32,557,918,14
2003,ALASKA,540,6558,408,508,6669,416,478,6932,396,486,6495,346,359,5815,319,389,5548,284,8,31,1,11,70,4,37,301,20,48,377,25,34,304,34,35,277,27
2003,ARIZONA,3760,38712,28674,3803,38626,27433,4129,44108,29015,3661,41736,25916,3361,39430,22095,3224,38509,20741,125,745,872,127,639,873,240,1224,2345,256,1514,2544,283,1727,2391,318,2163,2952
2003,ARKANSAS,8706,NaN,NaN,NaN,NaN,772,8713,26438,1600,7966,25261,1548,6734,22764,1234,6213,21309,857,119,NaN,NaN,NaN,NaN,8,443,549,55,465,902,109,503,1247,122,430,1236,71
2003,CALIFORNIA,42650,167935,228659,42968,174296,221203,47483,179280,235992,41986,174826,208102,36654,167026,176361,31897,158596,147578,959,756,1919,950,710,2000,2282,2150,6719,2185,2278,7297,2074,2868,7023,3672,5969,11886
2003,COLORADO,3496,38709,14714,3519,38965,14049,3976,41175,15399,3171,38842,12263,2656,37595,9748,2426,35686,8449,24,151,113,23,264,205,215,920,1187,185,1361,1221,202,1691,1065,235,2109,1013
2003,CONNECTICUT,NaN,NaN,NaN,NaN,NaN,NaN,7373,NaN,7482,5664,30734,5570,4806,29020,4690,4493,27470,3907,NaN,NaN,NaN,NaN,NaN,NaN,165,NaN,285,179,333,227,169,462,174,106,426,159
2003,DELAWARE,3259,5482,729,3370,5830,768,3550,6439,744,2534,5493,502,2180,4875,363,1924,4834,306,8,5,2,51,116,24,286,375,107,204,273,67,163,221,35,98,197,23
2003,DISTRICT OF COLUMBIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,FLORIDA,51284,107372,45674,49036,107179,44514,66639,127415,53766,44161,102840,39717,37134,91199,32302,31842,81249,27448,770,801,607,792,855,747,2520,3256,2238,1836,2537,1711,1674,2540,1267,1824,2338,1379
2003,GEORGIA,48985,62972,7657,47121,63704,6894,54776,69244,7791,41729,59407,5566,34443,51835,3961,28991,46699,2975,343,198,75,477,309,100,2983,2725,484,2513,2953,471,2086,2832,324,1805,2561,286
2003,HAWAII,314,2781,643,315,2803,620,314,3152,738,262,2693,533,211,2572,603,170,2137,481,NaN,16,1,4,34,7,15,113,26,14,151,38,13,147,36,8,177,38
2003,IDAHO,188,17003,2248,148,17038,2300,150,17796,2188,120,17195,1985,109,16023,1675,93,15203,1493,NaN,10,3,NaN,27,9,4,287,94,4,446,145,3,524,147,9,521,117
2003,ILLINOIS,34799,94914,27429,32600,96727,25142,39273,101268,27430,30189,96746,22788,23911,91112,18613,25161,91449,17297,408,971,172,549,1013,316,3823,2604,2452,3409,3195,1809,2278,3791,1574,1837,3751,1267
2003,INDIANA,10715,68278,3633,10026,67270,3321,11205,69457,3448,8868,63870,2945,7025,58020,2309,5825,54836,2016,55,82,25,73,163,21,276,805,97,267,1232,118,286,1706,89,300,2123,114
2003,IOWA,1694,33939,1740,1585,34677,1574,NaN,NaN,NaN,1415,34912,1526,1232,33712,1257,1010,34084,1129,5,4,4,5,10,7,NaN,NaN,NaN,62,536,92,73,817,91,79,1270,103
