Year,State,BL7,WH7,HI7,BL8,WH8,HI8,BL9,WH9,HI9,BL10,WH10,HI10,BL11,WH11,HI11,BL12,WH12,HI12,BLD7,WHD7,HID7,BLD8,WHD8,HID8,BLD9,WHD9,HID9,BLD10,WHD10,HID10,BLD11,WHD11,HID11,BLD12,WHD12,HID12
2004,GEORGIA,48731,59689,8608,48279,60819,8025,58033,69296,9131,42849,59161,6138,35708,51603,4495,30102,46448,3523,568,219,68,814,404,116,3794,3191,735,2779,3150,565,2125,2875,394,1517,2200,272
2004,HAWAII,319,2698,626,294,2780,643,346,3327,748,274,2706,564,265,2485,524,160,2129,499,4,30,4,8,41,7,12,139,21,20,142,25,19,152,38,9,172,37
2004,IDAHO,191,16881,2587,191,17172,2309,186,17952,2526,169,17290,2076,120,16324,1746,105,15289,1499,1,17,1,1,26,4,4,262,124,11,395,131,3,515,140,9,550,112
2004,ILLINOIS,34113,92784,28382,33778,94179,27429,39336,102791,29054,32068,97331,23599,24308,92152,19824,21465,87921,17135,366,130,166,465,212,328,3656,1409,2447,2996,1894,1764,2012,2641,1606,1992,2903,1425
2004,INDIANA,10776,66549,4018,10405,67685,3700,12028,70732,4011,9269,64975,3060,7514,60471,2699,5644,54506,2121,72,84,23,71,154,20,246,775,117,314,1263,123,285,1829,137,295,2001,121
2004,IOWA,1878,32850,1844,1688,33683,1806,1891,36142,1909,1698,35100,1643,1243,33251,1368,1167,33057,1208,1,1,1,3,6,3,83,266,121,100,468,90,83,660,80,105,1053,92
2004,KANSAS,3238,27443,4113,3283,27665,3956,3667,30209,4391,3217,28611,3556,2671,27838,2834,2597,27286,2711,1,4,11,4,11,7,94,271,97,117,452,146,112,611,144,132,666,106
2004,KENTUCKY,5589,44061,864,5490,44825,781,6307,49456,895,5092,42497,675,4154,37748,553,3679,34806,426,8,23,3,20,67,3,206,1099,30,336,1445,27,265,1391,21,274,1266,19
2004,LOUISIANA,28746,27768,1156,30017,27890,1037,27065,29824,1049,20978,25231,840,18239,23047,734,16804,21547,655,641,241,18,1572,433,32,3076,1583,80,1769,1309,55,1478,1269,61,2151,1065,56
2004,MAINE,289,16003,138,269,16199,119,301,16025,136,264,15402,112,271,14648,109,199,13845,102,NaN,6,NaN,NaN,7,1,7,215,3,9,355,6,14,483,7,11,584,5
2004,MARYLAND,27551,33822,4375,26935,34838,4309,32958,39067,5462,24954,35618,3993,20932,33332,3276,19428,31826,2793,55,5,1,65,29,1,2384,858,308,1443,917,218,1063,914,152,1022,832,118
2004,MASSACHUSETTS,NaN,NaN,NaN,NaN,NaN,NaN,8565,31134,11280,6740,56867,8147,6108,53182,6621,5468,49685,5438,NaN,NaN,NaN,NaN,NaN,NaN,431,711,830,448,1414,830,374,1709,632,448,1872,580
2004,MICHIGAN,29986,98230,5385,28797,101229,5295,37628,112312,6157,24919,103162,4512,18132,96164,3567,14437,91237,2981,NaN,NaN,NaN,NaN,NaN,NaN,3101,2458,517,1764,2813,391,1368,3047,284,886,2950,184
2004,MINNESOTA,NaN,NaN,NaN,NaN,NaN,NaN,5672,NaN,NaN,5297,NaN,2659,4789,56032,2259,5215,58889,2415,NaN,NaN,NaN,NaN,NaN,NaN,218,NaN,NaN,272,NaN,257,374,1108,221,978,2583,448
2004,MISSISSIPPI,21719,19657,467,20399,18955,439,20711,19673,452,17465,16995,312,14213,14989,242,12709,13266,171,194,57,1,207,100,3,691,275,8,604,421,11,455,454,8,328,371,2
2004,MISSOURI,13962,57278,1982,13693,56874,1800,14515,60781,1913,12048,56572,1594,9482,52036,1269,8854,50304,1219,425,115,14,410,134,14,801,1073,82,826,1823,82,637,2107,76,615,1948,68
2004,MONTANA,91,10096,247,82,10256,228,88,11149,314,68,10442,235,56,10135,220,55,9932,219,NaN,8,1,NaN,2,NaN,1,195,12,4,274,11,NaN,336,14,1,354,7
2004,NEBRASKA,1636,17416,2212,1581,17800,2189,2283,19736,2362,1503,18630,1869,1139,18171,1476,1083,18494,1334,1,19,9,4,29,15,117,152,123,118,280,136,69,410,116,73,562,111
2004,NEVADA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,NEW HAMPSHIRE,NaN,NaN,NaN,NaN,NaN,NaN,258,17654,444,245,16375,393,208,15067,345,189,14183,279,NaN,NaN,NaN,NaN,NaN,NaN,3,152,14,11,421,19,8,646,21,33,909,34
2004,NEW JERSEY,NaN,NaN,NaN,NaN,NaN,NaN,22103,NaN,20538,19053,NaN,18297,16139,61131,15213,14265,57539,13441,NaN,NaN,NaN,NaN,NaN,NaN,651,NaN,613,645,NaN,749,539,889,575,397,930,452
2004,NEW MEXICO,614,8078,13728,652,8464,13700,721,9267,15714,634,8876,13148,562,8047,10528,425,7482,9043,12,20,131,4,17,202,35,62,950,40,93,871,37,98,696,23,78,464
2004,NEW YORK,46770,121970,43842,45106,123221,43125,62325,132031,60597,49762,123795,45166,32584,114469,28304,26837,109369,22954,242,46,157,194,94,149,2975,1773,3149,9095,4136,9433,2368,3815,2111,1963,3859,1903
2004,NORTH CAROLINA,NaN,NaN,NaN,35429,64144,6790,42556,71625,7936,32133,62817,5378,26725,56714,3872,22495,50995,3077,NaN,NaN,NaN,211,245,71,2672,2956,711,2062,3022,539,1565,2801,324,1176,2269,189
2004,NORTH DAKOTA,84,6936,172,101,7105,141,93,7344,159,74,7535,122,76,7376,128,74,7412,114,NaN,NaN,NaN,NaN,1,NaN,2,42,3,3,133,11,4,107,8,7,123,3
2004,OHIO,25494,112127,3019,25152,114278,2877,32660,124457,3619,22390,114331,2742,19354,111041,2314,16572,105445,2004,240,237,30,371,316,51,3303,2344,318,1241,1759,156,1437,3070,139,1400,4157,147
2004,OKLAHOMA,5270,29124,3719,5079,28941,3462,5848,30913,3739,4827,29088,3012,4189,27062,2436,3496,25269,2047,66,121,65,75,162,76,240,767,253,258,873,261,206,978,196,162,823,140
2004,OREGON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,PENNSYLVANIA,24438,112915,8762,23547,116268,8592,27390,123472,9665,23123,118963,8074,19082,112170,6195,16456,107878,5182,13,16,15,45,41,26,1110,943,498,1704,1904,730,1364,2741,554,1345,3328,442
2004,RHODE ISLAND,NaN,NaN,NaN,NaN,NaN,NaN,1313,NaN,2563,1111,8983,2001,992,8403,1578,849,7895,1239,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,191,78,275,169,85,280,156,46,188,64
2004,SOUTH CAROLINA,23937,30652,1793,23453,30419,1735,27886,33320,1959,21400,29328,1285,16057,24219,850,14862,22443,746,34,17,1,60,27,2,1213,938,118,921,883,74,619,695,40,394,500,26
2004,SOUTH DAKOTA,158,8222,184,144,8252,184,161,8757,183,137,8604,181,117,8238,112,129,8488,129,NaN,1,NaN,NaN,3,NaN,6,89,3,6,222,13,11,235,13,18,350,30
2004,TENNESSEE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,TEXAS,48282,130025,144094,47739,131623,139472,58401,147954,168187,45536,132020,123358,38710,123133,102983,34265,114702,89384,119,106,324,405,604,1200,1776,2146,5996,1952,2590,6473,1562,2874,5269,2186,3247,6720
2004,UTAH,453,31130,4413,471,31197,4238,422,31653,4106,397,31442,3787,381,31392,3413,322,30714,3047,7,263,71,10,130,70,10,197,125,16,487,188,25,772,293,61,2329,643
2004,VERMONT,93,7093,61,100,7453,64,112,8184,63,110,7849,58,101,7479,63,81,7213,74,NaN,5,2,NaN,15,NaN,7,106,3,3,218,1,2,239,2,2,230,1
2004,VIRGINIA,13855,NaN,6049,26371,NaN,5895,31645,64431,7147,24658,58338,5803,19718,53042,5107,18223,50782,4092,111,NaN,36,206,NaN,23,905,859,587,762,825,448,604,985,152,748,1411,317
2004,WASHINGTON,NaN,NaN,NaN,NaN,NaN,NaN,5007,64858,10320,4403,61225,8510,3861,57796,7268,3542,56136,6390,NaN,NaN,NaN,NaN,NaN,NaN,320,1848,811,276,1935,616,265,2529,570,233,2936,525
2004,WEST VIRGINIA,1093,21029,146,1022,21264,140,1119,22771,145,907,19929,97,785,17906,113,719,17366,85,1,23,NaN,5,80,2,49,767,8,50,862,8,55,783,5,37,736,3
2004,WISCONSIN,7261,51826,3791,6923,53117,3701,9059,59100,4301,6393,57970,3376,5529,57891,3164,4779,58652,2777,138,60,37,133,50,39,676,214,207,390,230,111,383,552,145,582,2560,308
2004,WYOMING,105,5779,622,97,6014,533,84,6311,611,101,6263,533,95,5813,447,58,5705,386,NaN,7,2,2,10,4,3,123,46,6,239,55,7,287,56,11,372,27
2004,AMERICAN SAMOA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,GUAM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,NORTHERN MARIANAS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,PUERTO RICO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,VIRGIN ISLANDS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
