Year,State,BL7,WH7,HI7,BL8,WH8,HI8,BL9,WH9,HI9,BL10,WH10,HI10,BL11,WH11,HI11,BL12,WH12,HI12,BLD7,WHD7,HID7,BLD8,WHD8,HID8,BLD9,WHD9,HID9,BLD10,WHD10,HID10,BLD11,WHD11,HID11,BLD12,WHD12,HID12
2004,ALABAMA,NaN,NaN,NaN,NaN,NaN,NaN,24224,37997,1229,19511,32242,915,16667,29299,681,14353,26926,508,NaN,NaN,NaN,NaN,NaN,NaN,587,873,31,676,922,38,594,861,25,511,745,17
2004,ALASKA,523,6269,423,516,6429,405,522,6994,442,438,6460,394,453,5874,326,352,5541,315,16,106,17,8,125,8,48,333,32,50,392,48,57,406,31,70,430,55
2004,ARIZONA,4054,38393,30948,3941,38980,29049,4599,46608,31704,4072,43310,27139,3595,40980,23746,3403,38282,22866,68,306,482,61,400,658,197,981,1902,241,1411,2296,240,1742,2367,415,2233,3464
2004,ARKANSAS,NaN,NaN,2011,NaN,NaN,NaN,9017,NaN,1809,8156,25246,1731,6920,23020,1410,6161,20907,1075,NaN,NaN,15,NaN,NaN,NaN,363,NaN,71,466,813,102,462,1080,119,454,1233,92
2004,CALIFORNIA,40774,158469,230382,41767,165584,228262,48501,179590,250915,43117,173322,212568,38053,166575,187745,33567,156345,158515,829,881,2240,919,969,3642,2145,2030,6482,1734,2145,6266,1818,2858,6769,3343,6296,13065
2004,COLORADO,3570,38112,15290,3499,38676,14759,4272,40958,16629,3248,39295,12634,2774,37212,10439,2606,36400,9174,60,248,227,92,382,372,417,1280,2096,326,1778,1893,311,2146,1713,376,2723,1743
2004,CONNECTICUT,NaN,NaN,NaN,NaN,NaN,NaN,7456,NaN,7673,6280,NaN,6005,5153,29698,4821,4561,28075,4348,NaN,NaN,NaN,NaN,NaN,NaN,163,NaN,291,201,NaN,265,200,430,230,107,463,128
2004,DELAWARE,3266,5539,794,3676,5669,856,3690,6451,838,2770,5479,550,2100,5009,403,2079,4710,334,9,9,1,27,19,5,295,386,113,188,220,54,129,175,40,93,148,14
2004,DISTRICT OF COLUMBIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,FLORIDA,51447,106423,47139,50126,107150,47347,63462,125636,55514,47326,106094,43639,40869,95984,37058,33189,82622,29566,773,934,695,1194,1184,1243,2767,3383,2061,2060,2838,1682,1865,2754,1479,2253,2398,1721
